year,quarter,state,trips_000,nights_000,spend_million
2019,Q1,New South Wales,10563.372,32822.292,5300
2019,Q2,New South Wales,9308.252,26617.363,4715
2019,Q3,New South Wales,9421.808,29466.568,4958
2019,Q4,New South Wales,10273.490,29456.251,5133
2019,Q1,Victoria,8583.553,25530.739,3871
2019,Q2,Victoria,7298.266,19388.195,3306
2019,Q3,Victoria,7305.262,18657.153,3676
2019,Q4,Victoria,7583.477,20980.731,3919
2019,Q1,Queensland,5918.480,21513.532,3617
2019,Q2,Queensland,5934.481,19420.759,3338
2019,Q3,Queensland,6370.270,22277.781,3664
2019,Q4,Queensland,6188.290,21424.691,3700
2019,Q1,South Australia,1906.188,6561.371,1090
2019,Q2,South Australia,1693.483,5349.276,800
2019,Q3,South Australia,1619.650,4806.941,762
2019,Q4,South Australia,1818.115,5707.197,1015
2019,Q1,Western Australia,2275.733,7956.905,1610
2019,Q2,Western Australia,2092.443,6742.097,1413
2019,Q3,Western Australia,2133.698,6917.712,1471
2019,Q4,Western Australia,2179.167,7292.958,1524
2019,Q1,Tasmania,740.832,3084.917,594
2019,Q2,Tasmania,587.329,2050.100,438
2019,Q3,Tasmania,566.084,1776.299,397
2019,Q4,Tasmania,691.544,2364.944,586
2019,Q1,Northern Territory,138.431,582.025,85
2019,Q2,Northern Territory,219.115,219.115,198
2019,Q3,Northern Territory,277.023,277.023,207
2019,Q4,Northern Territory,173.486,707.398,128
2019,Q1,ACT,559.695,1633.076,343
2019,Q2,ACT,553.432,1459.846,319
2019,Q3,ACT,629.526,1569.092,380
2019,Q4,ACT,615.325,1632.100,202
2020,Q1,New South Wales,9301.787,31078.304,4807
2020,Q2,New South Wales,4768.726,14745.482,1408
2020,Q3,New South Wales,7015.500,21562.923,3206
2020,Q4,New South Wales,8873.119,27799.550,4681
2020,Q1,Victoria,7153.551,25112.388,3760
2020,Q2,Victoria,3535.496,10415.013,731
2020,Q3,Victoria,2331.317,6974.519,648
2020,Q4,Victoria,5340.185,15900.674,1870
2020,Q1,Queensland,7187.142,26787.884,3540
2020,Q2,Queensland,3961.422,9691.001,957
2020,Q3,Queensland,5381.224,15804.308,2574
2020,Q4,Queensland,5854.949,20226.692,3505
2020,Q1,South Australia,25783,6786.468,1092
2020,Q2,South Australia,1042.392,3217.578,266
2020,Q3,South Australia,1711.567,4415.272,483
2020,Q4,South Australia,1994.300,5490.709,778
2020,Q1,Western Australia,50138,8424.997,1865
2020,Q2,Western Australia,1251.039,4214.680,427
2020,Q3,Western Australia,2199.134,7636.158,1437
2020,Q4,Western Australia,2370.048,7989.552,1599
2020,Q1,Tasmania,3028,811.021,46
2020,Q2,Tasmania,209.104,669.123,163
2020,Q3,Tasmania,449.136,1191.888,163
2020,Q4,Tasmania,607.374,1812.906,335
2020,Q1,Northern Territory,1422,606.537,27
2020,Q2,Northern Territory,52.804,205.218,66
2020,Q3,Northern Territory,123.309,545.519,66
2020,Q4,Northern Territory,129.770,637.001,109
2020,Q1,ACT,1409,974.492,66
2020,Q2,ACT,201.041,667.896,66
2020,Q3,ACT,357.102,1043.058,240
2020,Q4,ACT,428.217,1257.251,238
2024,Q1,New South Wales,10294.761,34393.531,7792
2024,Q2,New South Wales,9396.324,27229.064,6165
2024,Q3,New South Wales,9156.842,26654.928,6985
2024,Q4,New South Wales,10592.612,30301.667,7964
2024,Q1,Victoria,8829.172,32707.807,6415
2024,Q2,Victoria,7332.328,20543.180,5277
2024,Q3,Victoria,7049.273,19181.141,5406
2024,Q4,Victoria,8077.812,21369.429,5433
2024,Q1,Queensland,10210.455,23841.082,6748
2024,Q2,Queensland,8632.514,21772.058,5658
2024,Q3,Queensland,6568.132,24346.383,6632
2024,Q4,Queensland,6760.980,23176.283,6097
2024,Q1,South Australia,2144.452,7801.930,1941
2024,Q2,South Australia,1932.749,6279.776,1344
2024,Q3,South Australia,1754.160,5491.423,1342
2024,Q4,South Australia,1667.663,6406.171,1435
2024,Q1,Western Australia,2514.476,9702.732,2451
2024,Q2,Western Australia,2344.641,8255.519,2652
2024,Q3,Western Australia,2361.730,8483.966,2075
2024,Q4,Western Australia,2508.608,8603.404,2612
2024,Q1,Tasmania,874.975,3490.239,975
2024,Q2,Tasmania,844.644,2356.159,677
2024,Q3,Tasmania,630.007,2078.979,632
2024,Q4,Tasmania,796.620,2621.371,838
2024,Q1,Northern Territory,132.399,583.726,207
2024,Q2,Northern Territory,218.468,944.071,213
2024,Q3,Northern Territory,272.060,1386.146,355
2024,Q4,Northern Territory,221.018,885.299,242
2024,Q1,ACT,557.275,1759.246,590
2024,Q2,ACT,529.550,1498.313,559
2024,Q3,ACT,584.395,1567.972,549
2024,Q4,ACT,573.073,1571.363,449
