year,state,visitors
2014-15,New South Wales,2670000
2018-19,New South Wales,3490000
2023-24,New South Wales,3060000
2024-25,New South Wales,3140000
2014-15,Victoria,1690000
2018-19,Victoria,2460000
2023-24,Victoria,2070000
2024-25,Victoria,2170000
2014-15,Queensland,1600000
2018-19,Queensland,2020000
2023-24,Queensland,1630000
2024-25,Queensland,1740000
2014-15,South Australia,220000
2018-19,South Australia,270000
2023-24,South Australia,230000
2024-25,South Australia,240000
2014-15,Western Australia,740000
2018-19,Western Australia,850000
2023-24,Western Australia,760000
2024-25,Western Australia,870000
2014-15,Tasmania,50000
2018-19,Tasmania,90000
2023-24,Tasmania,80000
2024-25,Tasmania,80000
2014-15,Northern Territory,100000
2018-19,Northern Territory,70000
2023-24,Northern Territory,50000
2024-25,Northern Territory,50000
2014-15,Australian Capital Territory,70000
2018-19,Australian Capital Territory,110000
2023-24,Australian Capital Territory,100000
2024-25,Australian Capital Territory,100000
